time,open,high,low,close,volume
2026-05-09 07:07:13.128594,2350.0,2355.594704183265,2345.0573765556333,2348.359739894524,5559
2026-05-09 08:07:13.128594,2348.655558030069,2350.4705703196632,2346.50322122437,2350.4705703196632,3210
2026-05-09 09:07:13.128594,2350.3735848938754,2354.226838362298,2349.8077992745666,2349.8077992745666,404
2026-05-09 10:07:13.128594,2350.6048003687793,2355.5269843386304,2346.608464541984,2352.2307113323445,1121
2026-05-09 11:07:13.128594,2347.8759767922807,2348.358070441263,2346.945801705145,2346.945801705145,1182
2026-05-09 12:07:13.128594,2346.8690275817307,2355.420637884134,2345.9966372681224,2349.2055643389176,947
2026-05-09 13:07:13.128594,2347.9784660749724,2349.286472061509,2346.1859802172403,2348.680221238715,7230
2026-05-09 14:07:13.128594,2349.1127621765645,2350.706727741803,2345.190814170934,2345.190814170934,5951
2026-05-09 15:07:13.128594,2347.5504211107386,2355.5247495203625,2342.6177085945674,2348.1580045501123,5021
2026-05-09 16:07:13.128594,2346.7135219284387,2353.26892958875,2342.823990472328,2345.103472632416,4137
2026-05-09 17:07:13.128594,2350.9708217616476,2360.6429244070555,2349.749068785515,2354.0379366007373,5850
2026-05-09 18:07:13.128594,2351.4604363519043,2362.547744986981,2346.528362254477,2353.5218887646083,5099
2026-05-09 19:07:13.128594,2347.760137398891,2355.5345021639014,2346.597618892634,2350.7489814578985,827
2026-05-09 20:07:13.128594,2350.10456177318,2361.398179254632,2347.8678723978396,2347.8678723978396,6548
2026-05-09 21:07:13.128594,2351.8230800942624,2360.0863339628145,2350.516721961602,2353.013244300159,8365
2026-05-09 22:07:13.128594,2352.5714665322494,2355.6012588215376,2350.2043659133287,2354.163714271446,5816
2026-05-09 23:07:13.128594,2349.3964999084037,2355.5414665921526,2348.6217633469073,2348.7136674358726,9437
2026-05-10 00:07:13.128594,2348.8907346509063,2349.028462313581,2340.598069613794,2346.5946635624396,5911
2026-05-10 01:07:13.128594,2345.853090555502,2348.3718288626355,2343.380558336977,2347.8026408915425,3633
2026-05-10 02:07:13.128594,2347.8124561604222,2355.8635444281304,2345.290711891235,2348.252628854653,7627
2026-05-10 03:07:13.128594,2345.359421489539,2346.5630610248363,2340.5309614725843,2344.2003492868557,907
2026-05-10 04:07:13.128594,2347.357008895299,2350.812143164057,2340.5515344978203,2347.0062752580666,8828
2026-05-10 05:07:13.128594,2349.6291434367668,2351.3017927328096,2342.7106426875357,2351.3017927328096,7815
2026-05-10 06:07:13.128594,2348.9476598772826,2350.4131675866674,2345.06972359981,2348.6563372279247,6797
2026-05-10 07:07:13.128594,2348.8677640272954,2356.997609535033,2342.533945339777,2342.533945339777,6867
2026-05-10 08:07:13.128594,2349.549278538361,2355.383982966718,2347.279293427527,2348.691687547679,7010
2026-05-10 09:07:13.128594,2350.3221499590413,2353.13706934128,2345.0560957160055,2348.366378282518,892
2026-05-10 10:07:13.128594,2346.964290936122,2353.9967108107057,2345.6315061157334,2345.6315061157334,6352
2026-05-10 11:07:13.128594,2347.20663127693,2351.9001270484378,2345.3598703337325,2345.3598703337325,4120
2026-05-10 12:07:13.128594,2348.208090826349,2348.5445387451014,2339.1107287519458,2345.71855565136,3739
2026-05-10 13:07:13.128594,2345.787826612327,2347.7790251082915,2338.318945362487,2345.9665991364877,5913
2026-05-10 14:07:13.128594,2346.5679289942286,2348.1054726901602,2345.1132377367676,2348.1054726901602,3779
2026-05-10 15:07:13.128594,2344.335062853726,2348.31689202257,2338.5020752452197,2345.4878004640314,3227
2026-05-10 16:07:13.128594,2347.608869341173,2353.3199798218598,2337.5942302040758,2348.8437986514,1975
2026-05-10 17:07:13.128594,2348.6615020616946,2353.7434593249495,2342.4558561287613,2345.785452908587,3286
2026-05-10 18:07:13.128594,2350.0625456601624,2351.730831549868,2347.294106405011,2347.294106405011,1260
2026-05-10 19:07:13.128594,2351.457303733666,2352.8548495304003,2347.451998880601,2352.699201491274,5708
2026-05-10 20:07:13.128594,2349.2448457887294,2361.507802299531,2345.232584730072,2350.5230184047196,7827
2026-05-10 21:07:13.128594,2347.938998108718,2359.0391130520743,2346.9489828145406,2347.5997751360705,9782
2026-05-10 22:07:13.128594,2345.58107630511,2348.9285102759545,2338.100489610911,2344.8104580612544,1801
2026-05-10 23:07:13.128594,2342.675711792905,2344.6743304782085,2340.6201318074604,2343.322375258038,5849
2026-05-11 00:07:13.128594,2345.0839111867213,2357.9935063364037,2338.870426802116,2349.558168147936,106
2026-05-11 01:07:13.128594,2344.7821966567763,2348.1689991345215,2342.8332028662744,2342.8332028662744,191
2026-05-11 02:07:13.128594,2347.4783353710527,2352.801772509273,2333.4847101541386,2345.5353529327176,2841
2026-05-11 03:07:13.128594,2343.7340456165716,2346.6637136428058,2339.6397651829525,2346.6637136428058,2273
2026-05-11 04:07:13.128594,2339.9358609921537,2345.747664925699,2332.9480304045437,2338.4815675468,4365
2026-05-11 05:07:13.128594,2338.0992440013474,2340.465952217135,2337.026722452266,2340.0219694336097,2739
2026-05-11 06:07:13.128594,2341.9124905994113,2344.346154099909,2334.8724417371427,2344.346154099909,7337
2026-05-11 07:07:13.128594,2340.0296153152144,2346.70711643769,2330.80430989596,2337.4511594573105,2700
2026-05-11 08:07:13.128594,2337.4289186503925,2339.9031142387357,2335.0374859997155,2338.2917999993388,6649
